"10R1",,,,,"10R2",,,,,"10R3",,,,,"10R4",,,,,"10R5",,,,,"10R6",,,,,"10R7",,,,,"10R8",,,,,"10R9",,,,,"10R10",,,,,"20R1",,,,,"20R2",,,,,"20R3",,,,,"20R4",,,,,"20R5",,,,,"20R6",,,,,"20R7",,,,,"20R8",,,,,"20R9",,,,,"20R10",,,,,"30R1",,,,,"30R2",,,,,"30R3",,,,,"30R4",,,,,"30R5",,,,,"30R6",,,,,"30R7",,,,,"30R8",,,,,"30R9",,,,,"30R10",,,,,"40R1",,,,,"40R2",,,,,"40R3",,,,,"40R4",,,,,"40R5",,,,,"40R6",,,,,"40R7",,,,,"40R8",,,,,"40R9",,,,,"40R10",,,,,"50R1",,,,,"50R2",,,,,"50R3",,,,,"50R4",,,,,"50R5",,,,,"50R6",,,,,"50R7",,,,,"50R8",,,,,"50R9",,,,,"50R10",,,,
"Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain","Time","Force","Stroke","Stress","Strain"
"20.58","164.4858","1.7149","17.12751","3.081581","20.58","194.5694","1.714906","20.32736","3.081592","20.58","220.9512","1.714906","23.22966","3.081592","20.58","198.8721","1.7149","20.84241","3.081581","20.58","192.2472","1.714906","20.08139","3.081592","20.58","212.3602","1.7149","22.18232","3.081581","20.58","196.2884","1.714906","20.43904","3.081592","20.58","224.8279","1.7149","23.56687","3.081581","20.58","192.2266","1.7149","20.14594","3.081581","20.58","227.8535","1.7149","23.88401","3.081581","20.58","245.6196","1.714906","25.89613","3.081592","20.58","240.9442","1.7149","25.4032","3.081581","20.58","207.1396","1.714906","21.83912","3.081592","20.58","227.3114","1.7149","23.96587","3.081581","20.58","215.9929","1.7149","22.77253","3.081581","20.58","221.1515","1.7149","23.31641","3.081581","20.58","211.2611","1.714906","22.27365","3.081592","20.58","219.593","1.714906","23.1521","3.081592","20.58","211.7292","1.7149","22.323","3.081581","20.58","249.4828","1.7149","26.30343","3.081581","20.58","312.1368","1.714906","32.90916","3.081592","20.58","244.9274","1.7149","25.82315","3.081581","20.58","245.444","1.7149","25.87761","3.081581","20.58","274.4079","1.7149","28.93133","3.081581","20.58","278.4554","1.7149","29.35807","3.081581","20.58","269.7627","1.7149","28.44158","3.081581","20.58","251.4021","1.7149","26.50578","3.081581","20.58","306.1811","1.7149","32.28124","3.081581","20.58","237.6747","1.7149","25.05849","3.081581","20.58","265.9416","1.714906","28.03872","3.081592","20.58","271.4602","1.7149","28.62055","3.081581","20.58","251.4489","1.7149","26.51073","3.081581","20.58","252.8206","1.7149","26.65535","3.081581","20.58","261.72","1.7149","27.59363","3.081581","20.58","245.5131","1.714906","25.8849","3.081592","20.58","237.4927","1.7149","25.0393","3.081581","20.58","258.6047","1.7149","27.26517","3.081581","20.58","286.0864","1.7149","30.16262","3.081581","20.58","288.1853","1.7149","30.38391","3.081581","20.58","264.4475","1.714894","27.8812","3.08157","20.58","298.3626","1.7149","31.45692","3.081581","20.58","330.685","1.7149","34.86473","3.081581","20.58","316.6215","1.714906","33.38199","3.081592","20.58","298.5795","1.714906","31.47979","3.081592","20.58","297.8118","1.7149","31.39885","3.081581","20.58","300.3693","1.7149","31.66849","3.081581","20.58","306.8447","1.714906","32.35121","3.081592","20.58","283.4344","1.7149","29.88301","3.081581","20.58","293.5735","1.714906","30.952","3.081592","20.58","279.363","1.7149","29.45376","3.081581"
"20.59","164.3237","1.715744","17.11063","3.083097","20.59","194.4741","1.715744","20.3174","3.083097","20.59","220.813","1.715744","23.21512","3.083097","20.59","198.6941","1.715737","20.82376","3.083086","20.59","192.1725","1.715744","20.07359","3.083097","20.59","212.2283","1.715744","22.16854","3.083097","20.59","196.1486","1.715744","20.42448","3.083097","20.59","224.6523","1.715737","23.54846","3.083086","20.59","192.0811","1.715737","20.1307","3.083086","20.59","227.6929","1.715744","23.86718","3.083097","20.59","245.4599","1.715744","25.87929","3.083097","20.59","240.8004","1.715737","25.38803","3.083086","20.59","206.9569","1.715737","21.81985","3.083086","20.59","227.1867","1.715737","23.95271","3.083086","20.59","215.8705","1.715737","22.75963","3.083086","20.59","221.014","1.715744","23.30192","3.083097","20.59","211.0163","1.715744","22.24784","3.083097","20.59","219.4444","1.715744","23.13643","3.083097","20.59","211.5806","1.715737","22.30733","3.083086","20.59","249.3572","1.715744","26.2902","3.083097","20.59","311.9874","1.715744","32.89341","3.083097","20.59","244.8154","1.715737","25.81134","3.083086","20.59","245.2612","1.715737","25.85834","3.083086","20.59","274.1631","1.715737","28.90552","3.083086","20.59","278.2909","1.715744","29.34072","3.083097","20.59","269.6021","1.715737","28.42465","3.083086","20.59","251.2725","1.715737","26.49213","3.083086","20.59","305.9745","1.715737","32.25946","3.083086","20.59","237.5126","1.715737","25.04139","3.083086","20.59","265.77","1.715744","28.02062","3.083097","20.59","271.2814","1.715744","28.6017","3.083097","20.59","251.2177","1.715737","26.48635","3.083086","20.59","252.6744","1.715744","26.63993","3.083097","20.59","261.5253","1.715744","27.5731","3.083097","20.59","245.2755","1.715744","25.85985","3.083097","20.59","237.368","1.715737","25.02614","3.083086","20.59","258.4608","1.715744","27.25001","3.083097","20.59","285.9696","1.715737","30.1503","3.083086","20.59","288.047","1.715737","30.36933","3.083086","20.59","264.3394","1.715737","27.8698","3.083086","20.59","298.214","1.715737","31.44125","3.083086","20.59","330.5451","1.715737","34.84998","3.083086","20.59","316.4967","1.715744","33.36884","3.083097","20.59","298.4214","1.715744","31.46312","3.083097","20.59","297.6592","1.715744","31.38277","3.083097","20.59","300.258","1.715744","31.65676","3.083097","20.59","306.6929","1.715744","32.33521","3.083097","20.59","283.3382","1.715737","29.87288","3.083086","20.59","293.4853","1.715744","30.9427","3.083097","20.59","279.2843","1.715744","29.44547","3.083097"
"20.6","164.1544","1.716581","17.093","3.084602","20.6","194.3668","1.716581","20.30619","3.084602","20.6","220.6731","1.716581","23.20041","3.084602","20.6","198.5216","1.716581","20.80569","3.084602","20.6","192.0851","1.716581","20.06446","3.084602","20.6","212.0964","1.716587","22.15476","3.084613","20.6","196.0079","1.716581","20.40983","3.084602","20.6","224.4798","1.716587","23.53038","3.084613","20.6","191.9365","1.716575","20.11554","3.084591","20.6","227.5244","1.716581","23.84952","3.084602","20.6","245.3033","1.716581","25.86278","3.084602","20.6","240.6581","1.716581","25.37303","3.084602","20.6","206.7852","1.716581","21.80175","3.084602","20.6","227.0691","1.716581","23.94031","3.084602","20.6","215.7561","1.716581","22.74757","3.084602","20.6","220.8734","1.716581","23.28709","3.084602","20.6","210.7867","1.716581","22.22363","3.084602","20.6","219.3062","1.716581","23.12185","3.084602","20.6","211.436","1.716581","22.29209","3.084602","20.6","249.2348","1.716581","26.27729","3.084602","20.6","311.8436","1.716581","32.87825","3.084602","20.6","244.7089","1.716581","25.80011","3.084602","20.6","245.0744","1.716575","25.83865","3.084591","20.6","273.9247","1.716581","28.88039","3.084602","20.6","278.1224","1.716581","29.32296","3.084602","20.6","269.4376","1.716581","28.40731","3.084602","20.6","251.1454","1.716581","26.47872","3.084602","20.6","305.7718","1.716581","32.23809","3.084602","20.6","237.3497","1.716581","25.02422","3.084602","20.6","265.6015","1.716581","28.00286","3.084602","20.6","271.1105","1.716587","28.58369","3.084613","20.6","250.9928","1.716581","26.46263","3.084602","20.6","252.5361","1.716581","26.62535","3.084602","20.6","261.3314","1.716581","27.55265","3.084602","20.6","245.0466","1.716581","25.83572","3.084602","20.6","237.244","1.716575","25.01307","3.084591","20.6","258.3218","1.716581","27.23534","3.084602","20.6","285.8535","1.716575","30.13807","3.084591","20.6","287.9111","1.716581","30.355","3.084602","20.6","264.2298","1.716581","27.85823","3.084602","20.6","298.0661","1.716587","31.42566","3.084613","20.6","330.4052","1.716581","34.83524","3.084602","20.6","316.3751","1.716581","33.35601","3.084602","20.6","298.2632","1.716581","31.44645","3.084602","20.6","297.5146","1.716581","31.36752","3.084602","20.6","300.1475","1.716581","31.64511","3.084602","20.6","306.5403","1.716581","32.31912","3.084602","20.6","283.2373","1.716581","29.86223","3.084602","20.6","293.4066","1.716581","30.93441","3.084602","20.6","279.208","1.716581","29.43742","3.084602"
"20.61","163.9803","1.717412","17.07488","3.086096","20.61","194.2611","1.717406","20.29515","3.086085","20.61","220.53","1.717412","23.18538","3.086096","20.61","198.3571","1.717412","20.78844","3.086096","20.61","191.9929","1.717412","20.05483","3.086096","20.61","211.9652","1.717412","22.14106","3.086096","20.61","195.872","1.717406","20.39568","3.086085","20.61","224.3066","1.717412","23.51222","3.086096","20.61","191.7815","1.717412","20.0993","3.086096","20.61","227.3512","1.717406","23.83136","3.086085","20.61","245.1468","1.717406","25.84628","3.086085","20.61","240.5119","1.717412","25.35762","3.086096","20.61","206.6263","1.717406","21.78499","3.086085","20.61","226.9522","1.717406","23.928","3.086085","20.61","215.648","1.717412","22.73617","3.086096","20.61","220.7271","1.717412","23.27167","3.086096","20.61","210.5618","1.717412","22.19992","3.086096","20.61","219.1623","1.717412","23.10669","3.086096","20.61","211.2794","1.717412","22.27558","3.086096","20.61","249.1077","1.717412","26.26389","3.086096","20.61","311.6997","1.717406","32.86308","3.086085","20.61","244.6008","1.717412","25.78871","3.086096","20.61","244.8773","1.717412","25.81787","3.086096","20.61","273.6902","1.717412","28.85567","3.086096","20.61","277.9539","1.717412","29.3052","3.086096","20.61","269.2731","1.717412","28.38997","3.086096","20.61","251.0134","1.717406","26.46481","3.086085","20.61","305.5732","1.717406","32.21714","3.086085","20.61","237.1812","1.717412","25.00645","3.086096","20.61","265.433","1.717412","27.98509","3.086096","20.61","270.9349","1.717412","28.56517","3.086096","20.61","250.7607","1.717412","26.43817","3.086096","20.61","252.409","1.717412","26.61195","3.086096","20.61","261.1343","1.717412","27.53188","3.086096","20.61","244.8273","1.717406","25.81259","3.086085","20.61","237.1176","1.717412","24.99975","3.086096","20.61","258.1835","1.717412","27.22076","3.086096","20.61","285.7343","1.717406","30.1255","3.086085","20.61","287.7688","1.717406","30.34","3.086085","20.61","264.1233","1.717412","27.84701","3.086096","20.61","297.9239","1.717412","31.41067","3.086096","20.61","330.2638","1.717406","34.82032","3.086085","20.61","316.2503","1.717406","33.34286","3.086085","20.61","298.1067","1.717412","31.42994","3.086096","20.61","297.3779","1.717406","31.3531","3.086085","20.61","300.0259","1.717406","31.63229","3.086085","20.61","306.3814","1.717412","32.30236","3.086096","20.61","283.1372","1.717406","29.85168","3.086085","20.61","293.3311","1.717406","30.92645","3.086085","20.61","279.1262","1.717406","29.42879","3.086085"
"20.62","163.8174","1.718231","17.05792","3.087567","20.62","194.1689","1.718231","20.28551","3.087567","20.62","220.3918","1.718231","23.17084","3.087567","20.62","198.2045","1.718231","20.77245","3.087567","20.62","191.9015","1.718231","20.04528","3.087567","20.62","211.8349","1.718231","22.12745","3.087567","20.62","195.7448","1.718231","20.38244","3.087567","20.62","224.1381","1.718231","23.49456","3.087567","20.62","191.5987","1.718231","20.08015","3.087567","20.62","227.1756","1.718231","23.81295","3.087567","20.62","244.9926","1.718231","25.83002","3.087567","20.62","240.3665","1.718231","25.34228","3.087567","20.62","206.4697","1.718225","21.76848","3.087556","20.62","226.8298","1.718225","23.91509","3.087556","20.62","215.5423","1.718237","22.72503","3.087578","20.62","220.588","1.718231","23.25701","3.087567","20.62","210.3368","1.718231","22.1762","3.087567","20.62","219.0121","1.718231","23.09085","3.087567","20.62","211.1109","1.718231","22.25782","3.087567","20.62","248.9773","1.718231","26.25014","3.087567","20.62","311.5551","1.718231","32.84783","3.087567","20.62","244.4871","1.718231","25.77673","3.087567","20.62","244.6747","1.718231","25.7965","3.087567","20.62","273.4558","1.718231","28.83095","3.087567","20.62","277.7878","1.718231","29.28769","3.087567","20.62","269.0991","1.718231","28.37162","3.087567","20.62","250.8752","1.718231","26.45023","3.087567","20.62","305.3745","1.718225","32.19619","3.087556","20.62","237.0127","1.718231","24.98869","3.087567","20.62","265.2645","1.718231","27.96733","3.087567","20.62","270.7497","1.718231","28.54565","3.087567","20.62","250.5255","1.718231","26.41337","3.087567","20.62","252.2866","1.718231","26.59904","3.087567","20.62","260.9332","1.718231","27.51067","3.087567","20.62","244.6151","1.718231","25.79022","3.087567","20.62","236.9912","1.718231","24.98643","3.087567","20.62","258.0492","1.718231","27.2066","3.087567","20.62","285.6088","1.718231","30.11226","3.087567","20.62","287.6226","1.718225","30.32459","3.087556","20.62","264.0184","1.718231","27.83595","3.087567","20.62","297.7951","1.718231","31.39709","3.087567","20.62","330.1255","1.718231","34.80574","3.087567","20.62","316.124","1.718231","33.32954","3.087567","20.62","297.9573","1.718231","31.41419","3.087567","20.62","297.2412","1.718225","31.33869","3.087556","20.62","299.8972","1.718231","31.61872","3.087567","20.62","306.2169","1.718231","32.28502","3.087567","20.62","283.0434","1.718231","29.84179","3.087567","20.62","293.2525","1.718231","30.91815","3.087567","20.62","279.0411","1.718231","29.41982","3.087567"
"20.63","163.6736","1.719056","17.04294","3.08905","20.63","194.0807","1.71905","20.2763","3.089038","20.63","220.2638","1.71905","23.15738","3.089038","20.63","198.0535","1.719056","20.75663","3.08905","20.63","191.8173","1.71905","20.03648","3.089038","20.63","211.7046","1.719056","22.11383","3.08905","20.63","195.6193","1.71905","20.36937","3.089038","20.63","223.976","1.719056","23.47757","3.08905","20.63","191.3961","1.719056","20.05891","3.08905","20.63","227.0031","1.71905","23.79487","3.089038","20.63","244.8376","1.71905","25.81368","3.089038","20.63","240.2226","1.719056","25.32712","3.08905","20.63","206.3076","1.71905","21.75139","3.089038","20.63","226.7035","1.719056","23.90177","3.08905","20.63","215.4358","1.719056","22.7138","3.08905","20.63","220.4577","1.719056","23.24327","3.08905","20.63","210.1143","1.71905","22.15274","3.089038","20.63","218.8595","1.71905","23.07476","3.089038","20.63","210.9345","1.71905","22.23921","3.089038","20.63","248.8534","1.719056","26.23707","3.08905","20.63","311.4088","1.719056","32.83241","3.08905","20.63","244.3727","1.719056","25.76467","3.08905","20.63","244.4744","1.719056","25.77539","3.08905","20.63","273.215","1.719056","28.80556","3.08905","20.63","277.6217","1.71905","29.27017","3.089038","20.63","268.9091","1.71905","28.35159","3.089038","20.63","250.7329","1.71905","26.43523","3.089038","20.63","305.1702","1.719056","32.17466","3.08905","20.63","236.849","1.71905","24.97143","3.089038","20.63","265.1016","1.71905","27.95015","3.089038","20.63","270.555","1.71905","28.52512","3.089038","20.63","250.291","1.71905","26.38865","3.089038","20.63","252.165","1.71905","26.58622","3.089038","20.63","260.725","1.71905","27.48872","3.089038","20.63","244.4069","1.719056","25.76827","3.08905","20.63","236.8665","1.719056","24.97327","3.08905","20.63","257.9188","1.71905","27.19286","3.089038","20.63","285.484","1.71905","30.09911","3.089038","20.63","287.4803","1.71905","30.30959","3.089038","20.63","263.9103","1.71905","27.82455","3.089038","20.63","297.6736","1.71905","31.38428","3.089038","20.63","329.9896","1.719056","34.79142","3.08905","20.63","316.0016","1.719056","33.31664","3.08905","20.63","297.8079","1.71905","31.39844","3.089038","20.63","297.099","1.719056","31.3237","3.08905","20.63","299.7668","1.719056","31.60497","3.08905","20.63","306.0508","1.71905","32.2675","3.089038","20.63","282.9568","1.719056","29.83266","3.08905","20.63","293.1698","1.71905","30.90944","3.089038","20.63","278.9577","1.71905","29.41102","3.089038"
"20.64","163.5424","1.719887","17.02928","3.090544","20.64","193.9781","1.719887","20.26559","3.090544","20.64","220.1335","1.719887","23.14368","3.090544","20.64","197.897","1.719887","20.74022","3.090544","20.64","191.7338","1.719887","20.02777","3.090544","20.64","211.5663","1.719887","22.09939","3.090544","20.64","195.485","1.719894","20.35538","3.090555","20.64","223.813","1.719887","23.46049","3.090544","20.64","191.2061","1.719887","20.039","3.090544","20.64","226.8386","1.719894","23.77763","3.090555","20.64","244.6786","1.719887","25.79692","3.090544","20.64","240.078","1.719887","25.31187","3.090544","20.64","206.1486","1.719881","21.73463","3.090532","20.64","226.5692","1.719887","23.88761","3.090544","20.64","215.3238","1.719887","22.70198","3.090544","20.64","220.329","1.719887","23.22969","3.090544","20.64","209.8981","1.719887","22.12995","3.090544","20.64","218.6974","1.719887","23.05767","3.090544","20.64","210.7541","1.719887","22.22019","3.090544","20.64","248.7365","1.719887","26.22475","3.090544","20.64","311.2658","1.719887","32.81733","3.090544","20.64","244.2574","1.719887","25.75252","3.090544","20.64","244.2765","1.719887","25.75453","3.090544","20.64","272.9662","1.719887","28.77934","3.090544","20.64","277.4509","1.719887","29.25216","3.090544","20.64","268.7097","1.719887","28.33056","3.090544","20.64","250.5938","1.719887","26.42057","3.090544","20.64","304.958","1.719887","32.15229","3.090544","20.64","236.69","1.719887","24.95467","3.090544","20.64","264.9411","1.719887","27.93323","3.090544","20.64","270.3531","1.719887","28.50383","3.090544","20.64","250.051","1.719887","26.36334","3.090544","20.64","252.0347","1.719887","26.57248","3.090544","20.64","260.5081","1.719887","27.46585","3.090544","20.64","244.1963","1.719894","25.74607","3.090555","20.64","236.7409","1.719887","24.96003","3.090544","20.64","257.7869","1.719887","27.17895","3.090544","20.64","285.368","1.719887","30.08688","3.090544","20.64","287.3452","1.719887","30.29534","3.090544","20.64","263.7998","1.719887","27.81291","3.090544","20.64","297.5464","1.719887","31.37087","3.090544","20.64","329.8569","1.719887","34.77742","3.090544","20.64","315.8776","1.719887","33.30356","3.090544","20.64","297.6584","1.719881","31.38268","3.090532","20.64","296.9535","1.719887","31.30836","3.090544","20.64","299.6365","1.719887","31.59124","3.090544","20.64","305.8863","1.719881","32.25016","3.090532","20.64","282.8701","1.719887","29.82352","3.090544","20.64","293.0824","1.719881","30.90022","3.090532","20.64","278.875","1.719887","29.40231","3.090544"
"20.65","163.4105","1.720737","17.01555","3.092071","20.65","193.8597","1.720744","20.25322","3.092082","20.65","219.988","1.720737","23.12839","3.092071","20.65","197.7309","1.720744","20.72281","3.092082","20.65","191.6432","1.720737","20.0183","3.092071","20.65","211.4216","1.720737","22.08428","3.092071","20.65","195.3403","1.720744","20.34032","3.092082","20.65","223.643","1.720737","23.44266","3.092071","20.65","191.0416","1.720737","20.02176","3.092071","20.65","226.6836","1.720744","23.76139","3.092082","20.65","244.511","1.720737","25.77925","3.092071","20.65","239.9254","1.720744","25.29578","3.092082","20.65","206.004","1.720737","21.71938","3.092071","20.65","226.4285","1.720744","23.87278","3.092082","20.65","215.2054","1.720744","22.6895","3.092082","20.65","220.1907","1.720744","23.21511","3.092082","20.65","209.6812","1.720744","22.10708","3.092082","20.65","218.5249","1.720737","23.03949","3.092071","20.65","210.5816","1.720737","22.20201","3.092071","20.65","248.6149","1.720737","26.21194","3.092071","20.65","311.1219","1.720737","32.80217","3.092071","20.65","244.1382","1.720744","25.73995","3.092082","20.65","244.0834","1.720737","25.73417","3.092071","20.65","272.7095","1.720737","28.75227","3.092071","20.65","277.276","1.720737","29.23373","3.092071","20.65","268.511","1.720737","28.30961","3.092071","20.65","250.4595","1.720744","26.40641","3.092082","20.65","304.7411","1.720737","32.12941","3.092071","20.65","236.5224","1.720737","24.93699","3.092071","20.65","264.775","1.720737","27.91572","3.092071","20.65","270.1386","1.720737","28.48121","3.092071","20.65","249.7896","1.720737","26.33578","3.092071","20.65","251.8916","1.720737","26.5574","3.092071","20.65","260.28","1.720737","27.4418","3.092071","20.65","243.9793","1.720744","25.72319","3.092082","20.65","236.6106","1.720737","24.94629","3.092071","20.65","257.6526","1.720737","27.16479","3.092071","20.65","285.2559","1.720737","30.07506","3.092071","20.65","287.2133","1.720737","30.28143","3.092071","20.65","263.6854","1.720737","27.80084","3.092071","20.65","297.4057","1.720737","31.35604","3.092071","20.65","329.7226","1.720737","34.76326","3.092071","20.65","315.7433","1.720744","33.2894","3.092082","20.65","297.5067","1.720737","31.36668","3.092071","20.65","296.8089","1.720737","31.29311","3.092071","20.65","299.5046","1.720737","31.57733","3.092071","20.65","305.7202","1.720737","32.23265","3.092071","20.65","282.7748","1.720737","29.81347","3.092071","20.65","292.991","1.720737","30.89058","3.092071","20.65","278.7884","1.720737","29.39318","3.092071"
"20.66","163.2786","1.721581","17.00181","3.093587","20.66","193.7397","1.721587","20.24068","3.093598","20.66","219.8338","1.721581","23.11218","3.093587","20.66","197.556","1.721581","20.70449","3.093587","20.66","191.5407","1.721587","20.00759","3.093598","20.66","211.273","1.721581","22.06876","3.093587","20.66","195.1917","1.721581","20.32485","3.093587","20.66","223.4602","1.721581","23.4235","3.093587","20.66","190.8875","1.721581","20.0056","3.093587","20.66","226.5278","1.721581","23.74506","3.093587","20.66","244.3361","1.721581","25.76081","3.093587","20.66","239.7633","1.721581","25.27868","3.093587","20.66","205.8776","1.721581","21.70606","3.093587","20.66","226.2926","1.721581","23.85845","3.093587","20.66","215.0845","1.721581","22.67676","3.093587","20.66","220.0341","1.721581","23.1986","3.093587","20.66","209.4642","1.721587","22.0842","3.093598","20.66","218.3564","1.721587","23.02172","3.093598","20.66","210.4211","1.721581","22.18509","3.093587","20.66","248.4878","1.721581","26.19853","3.093587","20.66","310.9789","1.721581","32.78708","3.093587","20.66","244.0135","1.721581","25.72679","3.093587","20.66","243.8935","1.721581","25.71414","3.093587","20.66","272.4568","1.721581","28.72563","3.093587","20.66","277.0996","1.721581","29.21513","3.093587","20.66","268.321","1.721581","28.28959","3.093587","20.66","250.3228","1.721581","26.392","3.093587","20.66","304.5201","1.721581","32.10612","3.093587","20.66","236.3419","1.721581","24.91797","3.093587","20.66","264.6041","1.721581","27.8977","3.093587","20.66","269.9113","1.721581","28.45725","3.093587","20.66","249.5066","1.721581","26.30595","3.093587","20.66","251.7295","1.721581","26.54031","3.093587","20.66","260.0455","1.721581","27.41708","3.093587","20.66","243.7528","1.721581","25.69931","3.093587","20.66","236.4715","1.721581","24.93163","3.093587","20.66","257.5175","1.721581","27.15055","3.093587","20.66","285.1391","1.721581","30.06274","3.093587","20.66","287.079","1.721581","30.26727","3.093587","20.66","263.559","1.721581","27.78752","3.093587","20.66","297.2523","1.721581","31.33987","3.093587","20.66","329.5938","1.721581","34.74969","3.093587","20.66","315.6042","1.721581","33.27474","3.093587","20.66","297.3525","1.721581","31.35042","3.093587","20.66","296.6658","1.721581","31.27803","3.093587","20.66","299.3679","1.721581","31.56292","3.093587","20.66","305.5533","1.721575","32.21505","3.093576","20.66","282.6738","1.721581","29.80283","3.093587","20.66","292.8948","1.721575","30.88045","3.093576","20.66","278.6962","1.721575","29.38346","3.093576"
"20.67","163.1498","1.722419","16.9884","3.095092","20.67","193.6332","1.722419","20.22955","3.095092","20.67","219.6852","1.722419","23.09656","3.095092","20.67","197.3796","1.722412","20.686","3.095081","20.67","191.435","1.722419","19.99655","3.095092","20.67","211.1212","1.722419","22.0529","3.095092","20.67","195.0471","1.722419","20.30978","3.095092","20.67","223.2655","1.722412","23.40309","3.095081","20.67","190.7325","1.722412","19.98936","3.095081","20.67","226.3649","1.722419","23.72798","3.095092","20.67","244.1494","1.722419","25.74112","3.095092","20.67","239.6043","1.722419","25.26193","3.095092","20.67","205.7552","1.722419","21.69316","3.095092","20.67","226.1686","1.722419","23.84538","3.095092","20.67","214.9685","1.722419","22.66453","3.095092","20.67","219.8601","1.722419","23.18026","3.095092","20.67","209.252","1.722419","22.06183","3.095092","20.67","218.2031","1.722419","23.00555","3.095092","20.67","210.2693","1.722412","22.16908","3.095081","20.67","248.3638","1.722419","26.18546","3.095092","20.67","310.839","1.722412","32.77234","3.095081","20.67","243.8855","1.722412","25.7133","3.095081","20.67","243.7043","1.722412","25.6942","3.095081","20.67","272.2216","1.722412","28.70082","3.095081","20.67","276.9256","1.722412","29.19678","3.095081","20.67","268.1406","1.722412","28.27056","3.095081","20.67","250.1814","1.722419","26.37708","3.095092","20.67","304.2976","1.722419","32.08266","3.095092","20.67","236.1584","1.722412","24.89861","3.095081","20.67","264.434","1.722419","27.87977","3.095092","20.67","269.6824","1.722412","28.43312","3.095081","20.67","249.2245","1.722412","26.2762","3.095081","20.67","251.5634","1.722412","26.52279","3.095081","20.67","259.8151","1.722412","27.39278","3.095081","20.67","243.5199","1.722412","25.67476","3.095081","20.67","236.3292","1.722412","24.91663","3.095081","20.67","257.384","1.722412","27.13647","3.095081","20.67","285.0167","1.722412","30.04984","3.095081","20.67","286.9407","1.722419","30.2527","3.095092","20.67","263.4247","1.722412","27.77336","3.095081","20.67","297.0998","1.722412","31.32378","3.095081","20.67","329.4698","1.722419","34.73662","3.095092","20.67","315.4675","1.722419","33.26033","3.095092","20.67","297.1999","1.722419","31.33434","3.095092","20.67","296.518","1.722419","31.26244","3.095092","20.67","299.2296","1.722412","31.54833","3.095081","20.67","305.3896","1.722419","32.19779","3.095092","20.67","282.5721","1.722419","29.7921","3.095092","20.67","292.7987","1.722419","30.87031","3.095092","20.67","278.604","1.722412","29.37374","3.095081"
